n,m,parseTime,SATime,SearchTime,Description
41,36,123,24,4,sameChar
41,37,125,24,4,sameChar
41,38,166,23,4,sameChar
41,39,121,24,4,sameChar
41,40,148,23,5,sameChar
42,1,122,24,2,sameChar
42,2,149,25,1,sameChar
42,3,125,24,3,sameChar
42,4,112,30,2,sameChar
42,5,125,24,2,sameChar
42,6,112,25,2,sameChar
42,7,103,24,1,sameChar
42,8,110,24,3,sameChar
42,9,103,25,2,sameChar
42,10,110,24,2,sameChar
42,11,103,25,2,sameChar
42,12,100,24,3,sameChar
42,13,104,24,2,sameChar
42,14,104,25,3,sameChar
42,15,105,25,2,sameChar
42,16,104,25,2,sameChar
42,17,102,25,3,sameChar
42,18,110,26,4,sameChar
42,19,106,24,3,sameChar
42,20,103,24,2,sameChar
42,21,104,29,3,sameChar
42,22,103,25,5,sameChar
42,23,104,255,5,sameChar
42,24,107,25,3,sameChar
42,25,103,25,3,sameChar
42,26,103,25,3,sameChar
42,27,117,24,4,sameChar
42,28,106,28,4,sameChar
42,29,126,25,3,sameChar
42,30,103,24,4,sameChar
42,31,117,24,3,sameChar
42,32,116,24,3,sameChar
42,33,108,24,3,sameChar
42,34,128,24,3,sameChar
42,35,118,24,4,sameChar
42,36,118,25,4,sameChar
42,37,148,32,5,sameChar
42,38,129,24,4,sameChar
42,39,141,24,4,sameChar
42,40,131,25,4,sameChar
42,41,140,26,4,sameChar
43,1,134,31,2,sameChar
43,2,191,19,4,sameChar
43,3,158,20,4,sameChar
43,4,132,25,3,sameChar
43,5,109,26,1,sameChar
43,6,115,26,2,sameChar
43,7,103,25,2,sameChar
43,8,106,107,2,sameChar
43,9,113,26,2,sameChar
43,10,104,26,2,sameChar
43,11,104,25,4,sameChar
43,12,106,26,2,sameChar
43,13,103,33,2,sameChar
43,14,106,26,2,sameChar
43,15,103,26,3,sameChar
43,16,104,26,2,sameChar
43,17,104,26,3,sameChar
43,18,104,26,2,sameChar
43,19,105,26,2,sameChar
43,20,103,25,2,sameChar
43,21,103,26,3,sameChar
43,22,104,26,3,sameChar
43,23,104,28,3,sameChar
43,24,106,26,3,sameChar
43,25,116,26,4,sameChar
43,26,104,26,4,sameChar
43,27,110,26,3,sameChar
43,28,335,25,7,sameChar
43,29,104,34,3,sameChar
43,30,132,26,3,sameChar
43,31,107,27,3,sameChar
43,32,128,25,4,sameChar
43,33,115,26,3,sameChar
43,34,121,129,4,sameChar
43,35,132,26,4,sameChar
43,36,164,26,4,sameChar
43,37,138,26,4,sameChar
43,38,147,25,4,sameChar
43,39,119,27,4,sameChar
43,40,152,26,4,sameChar
43,41,118,26,5,sameChar
43,42,113,26,4,sameChar
44,1,115,28,1,sameChar
44,2,103,27,1,sameChar
44,3,107,28,3,sameChar
44,4,107,27,2,sameChar
44,5,106,27,4,sameChar
44,6,111,27,2,sameChar
44,7,104,28,2,sameChar
44,8,106,27,2,sameChar
44,9,105,32,3,sameChar
44,10,103,27,2,sameChar
44,11,102,26,2,sameChar
44,12,102,27,2,sameChar
44,13,103,28,2,sameChar
44,14,105,27,3,sameChar
44,15,102,27,2,sameChar
44,16,109,27,3,sameChar
44,17,103,27,2,sameChar
44,18,106,27,3,sameChar
